Date,Ticker,Security,Ticker,Security,Reason
"January 21, 2021",TRMB,Trimble Inc.,CXO,Concho Resources,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.[6]
"January 7, 2021",ENPH,Enphase Energy,TIF,Tiffany & Co.,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.[7]
"December 21, 2020",TSLA,"Tesla, Inc.",AIV,Apartment Investment & Management,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.[8]
"October 12, 2020",NBL,Noble Energy,Chevron acquired Noble Energy.[9]
"October 9, 2020",VNT,Vontier,S&P 500 constituent Fortive spun off Vontier.[9]
"October 7, 2020",POOL,Pool Corporation,ETFC,E*TRADE Financial,Morgan Stanley acquired E*TRADE.[10]
"September 21, 2020",ETSY,Etsy,HRB,H&R Block,Market capitalization change.[11]
"September 21, 2020",TER,Teradyne,COTY,Coty Inc.,Market capitalization change.[11]
"September 21, 2020",CTLT,Catalent,KSS,Kohl's Corp.,Market capitalization change.[11]
"June 22, 2020",BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems,Market capitalization change.[12]
"June 22, 2020",TDY,Teledyne Technologies,HOG,Harley-Davidson,Market capitalization change.[12]
"June 22, 2020",TYL,Tyler Technologies,JWN,Nordstrom,Market capitalization change.[12]
"May 22, 2020",WST,West Pharmaceutical Services,HP,Helmerich & Payne,Market capitalization change.[13]
"May 12, 2020",DPZ,Domino's Pizza,CPRI,Capri Holdings,Market capitalization change.[14]
"May 12, 2020",DXCM,Dexcom,AGN,Allergan,Allergan acquired by AbbVie.[14]
"April 6, 2020",M,"Macy's, Inc.",Market capitalization change.[15]
"April 6, 2020",RTN,Raytheon Company,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[15]
"April 3, 2020",OTIS,Otis Worldwide,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[15]
"April 3, 2020",CARR,Carrier Global,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[15]
"March 3, 2020",GDI,Gardner Denver,XEC,Cimarex Energy,"Gardner Denver acquired Ingersoll Rand plc's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc. and later changed the ticker to IR.[16]"
"January 28, 2020",PAYC,Paycom,WCG,WellCare,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[17]
"December 23, 2019",LYV,Live Nation Entertainment,AMG,Affiliated Managers Group,Market capitalization change.[18]
"December 23, 2019",ZBRA,Zebra Technologies,TRIP,TripAdvisor,Market capitalization change.[18]
"December 23, 2019",STE,STERIS plc,MAC,Macerich,Market capitalization change.[18]
"December 9, 2019",ODFL,Old Dominion Freight Line,STI,SunTrust Banks,BB&T acquired SunTrust to form Truist Financial.[19]
"December 5, 2019",WRB,W. R. Berkley Corporation,VIAB,Viacom,CBS acquired Viacom to form ViacomCBS.[20]
"November 21, 2019",NOW,ServiceNow,CELG,Celgene,Bristol-Myers Squibb Co. (NYSE:BMY) acquired Celgene.[21]
"October 3, 2019",LVS,Las Vegas Sands,NKTR,Nektar Therapeutics,Market Cap changes[22]
"September 26, 2019",NVR,NVR Inc,JEF,Jefferies Financial Group Inc,JEF spun off SPB.[23]
"September 23, 2019",CDW,CDW,TSS,TSYS,S&P 500 constituent Global Payments Inc. (NYSE: GPN) acquired TSS.[24]
"August 9, 2019",LDOS,Leidos Holdings,APC,Anadarko Petroleum,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.[25]
"August 9, 2019",IEX,IDEX Corporation,FL,Foot Locker,Foot Locker moved to the S&P MidCap 400.[25]
"July 15, 2019",TMUS,T-Mobile US,RHT,Red Hat,S&P 500 & 100 constituent IBM acquired Red Hat.[26]
"July 1, 2019",MKTX,MarketAxess,LLL,L3 Technologies,L3 purchased by Harris Corporation[27]
"June 7, 2019",BMS,Bemis Co Inc,MAT,Mattel Inc,Bemis merged with Amcor; subsequently renamed to Amcor plc[28]
"June 3, 2019",DD,DuPont de Nemours Inc.,DWDP,DowDuPont Inc.,DWDP changed to DD after spinning off Corteva.[29]
"June 3, 2019",CTVA,Corteva,FLR,Fluor Corporation,CTVA spun off from DWDP (which then changed symbol to DD)[29]
"April 2, 2019",DOW,Dow Inc.,BHF,Brighthouse Financial,DOW spun off from DWDP[30]
"February 27, 2019",WAB,Wabtec Corporation,GT,The Goodyear Tire & Rubber Company,WAB acquired GE transportation business[31]
"February 15, 2019",ATO,Atmos Energy Corp,NFX,Newfield Exploration,ECA acquired NFX[32]
"January 18, 2019",TFX,Teleflex,PCG,PG&E Corp,PCG filed for bankruptcy[33]
"January 2, 2019",FRC,First Republic Bank,SCG,SCANA,Dominion Energy acquired SCANA Corporation[34]
"December 24, 2018",CE,Celanese,ESRX,Express Scripts,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[35]
"December 3, 2018",LW,Lamb Weston Holdings Inc,COL,Rockwell Collins,UTX acquired COL[36]
"December 3, 2018",MXIM,Maxim Integrated Products Inc,AET,Aetna Inc,CVS acquired Aetna[36]
"December 3, 2018",FANG,Diamondback Energy,SRCL,Stericycle,Market Capitalization change[36]
"November 13, 2018",JKHY,Jack Henry & Associates,EQT,EQT Corp,EQT spun off ETRN[37]
"November 6, 2018",KEYS,Keysight Technologies,CA,CA Inc.,CA acquired by Broadcom Inc..[38]
"October 11, 2018",FTNT,Fortinet,EVHC,Envision Healthcare,EVHC acquired by Kohlberg Kravis Roberts.[39]
"October 1, 2018",ROL,Rollins Inc.,ANDV,Andeavor,ANDV acquired by Marathon Petroleum.[40]
"September 14, 2018",WCG,WellCare,XL,XL Group,XL acquired by AXA.[41]
"August 28, 2018",ANET,Arista Networks,GGP,GGP Inc.,GGP acquired by Brookfield Property Partners.[42]
"July 2, 2018",CPRT,Copart,DPS,Dr Pepper Snapple Group,DPS acquired by Keurig Green Mountain.[43]
"June 20, 2018",FLT,FleetCor Technologies,TWX,Time Warner,AT&T acquired Time Warner.[44]
"June 18, 2018",BR,Broadridge Financial Solutions,RRC,Range Resources,Capitalization rebalance.[45]
"June 18, 2018",HFC,HollyFrontier,AYI,Acuity Brands,Capitalization rebalance.
"June 7, 2018",TWTR,Twitter,MON,Monsanto,Bayer acquired Monsanto.[46]
"June 5, 2018",EVRG,Evergy,NAVI,Navient Corp,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[47]
"May 31, 2018",ABMD,Abiomed,WYN,Wyndham Worldwide,Wyndham Worldwide spun off Wyndham Hotels & Resorts Inc. (NYSE:WH).[48]
"April 4, 2018",MSCI,MSCI,CSRA,CSRA Inc.,S&P 500 constituent General Dynamics Corp. (NYSE: GD) acquired CSRA.[49]
"March 19, 2018",TTWO,Take-Two Interactive,SIG,Signet Jewelers,Market capitalization changes.[50]
"March 19, 2018",SIVB,SVB Financial,PDCO,Patterson Companies,Market capitalization changes.
"March 19, 2018",NKTR,Nektar Therapeutics,CHK,Chesapeake Energy,Market capitalization changes.
"March 7, 2018",IPGP,IPG Photonics,SNI,Scripps Networks Interactive,Discovery Communications acquired SNI.[51]
"January 3, 2018",HII,Huntington Ingalls Industries,BCR,CR Bard,Becton Dickinson acquired BCR.[52]
"October 13, 2017",NCLH,Norwegian Cruise Line Holdings,LVLT,Level 3 Communications,CenturyLink Inc acquired LVLT.[53]
"September 18, 2017",CDNS,Cadence Design Systems,SPLS,Staples Inc.,Sycamore Partners acquired Staples.[54]
"September 1, 2017",DWDP,DowDuPont Inc.,DOW,The Dow Chemical Company,The Dow Chemical Company renamed to DowDuPont Inc. and ticker changed from DOW to DWDP after acquiring DuPont.[55]
"September 1, 2017",SBAC,SBA Communications,DD,DuPont,The Dow Chemical Company acquired DuPont.[55]
"August 29, 2017",Q,QuintilesIMS,WFM,Whole Foods Market,Amazon.com Inc. acquired Whole Foods Market.[55]
"August 8, 2017",BHF,Brighthouse Financial Inc,AN,AutoNation Inc,"BHF replaced AN,[56] MET spun off BHF[56]"
"July 26, 2017",DRE,Duke Realty Corp,RIG,Transocean,Market capitalization changes.[57]
"July 26, 2017",AOS,A.O. Smith,BBBY,Bed Bath & Beyond,Market capitalization changes.
"July 26, 2017",PKG,Packaging Corporation of America,MUR,Murphy Oil,Market capitalization changes.
"July 26, 2017",RMD,ResMed,MNK,Mallinckrodt,Market capitalization changes.
"July 26, 2017",MGM,MGM Resorts International,RAI,Reynolds American,British American Tobacco plc (NYSE MKT:BTI) acquired Reynolds American.[57]
"June 19, 2017",HLT,Hilton Worldwide Holdings Inc.,YHOO,Yahoo! Inc.,VZ acquired YHOO operations; remainder of YHOO converted to closed-end company known as Altaba.[58]
"June 19, 2017",ALGN,Align Technology Inc.,TDC,Teradata Corp.,Market capitalization changes.[58]
"June 19, 2017",ANSS,ANSYS Inc.,R,Ryder Systems Inc.,Market capitalization changes.[58]
"June 19, 2017",RE,Everest Re Group,MJN,Mead Johnson,Reckitt Benckiser Group plc acquired Mead Johnson Nutrition.[59]
"June 2, 2017",INFO,IHS Markit Ltd.,TGNA,"Tegna, Inc.",TGNA spins off Cars.com[60]
